"Curtis Larson","ITWS-3358"
"David Rodriguez","CHEM-4212"
"Jesse Davis","ENGR-4177"
"Darren Shepard","ECSE-4405"
"Dustin Haley","MATH-4817"
"Kristen Melton","ECSE-2858"
"Kathleen Sanchez","ITWS-3406"
"Stephanie Foley","ITWS-1744"
"Randy Richard","ITWS-3142"
"Laura Blake","MATH-2843"
"Kevin Reese","ITWS-2643"
"Timothy Sharp","STSO-4113"
"Kathryn Salazar","ITWS-2483"
"Adam Yates","MATH-4059"
"Alex Butler","BIOL-3004"
"Michael Matthews","PHYS-2862"
"Pamela Cowan","BIOL-4529"
"Hannah Robertson","STSO-1214"
"Marissa Johnson","PSYC-2585"
"Kelly Schwartz","PSYC-2200"
"Nicole Porter","BIOL-2768"
"Sherry Lloyd","PSYC-2837"
"Jessica Garcia","CHEM-2900"
"Frances Stevenson","CSCI-2292"
"Curtis Dalton","CSCI-4125"
"Ricardo Robertson","CHEM-4130"
"Kristin Sanchez","ITWS-2236"
"Nathaniel Giles","ECSE-2958"
"Johnny Brooks","STSO-1046"
"Kathy Kelly","BIOL-2734"
"George Campbell","STSO-1010"
"Patrick Larson","CHEM-1178"
"Elizabeth Perez","BIOL-1222"
"Jessica Bates","ENGR-2857"
"Jacqueline Alvarez","STSO-1818"
"Molly Ortega","PHYS-3543"
"Haley Horton","CSCI-2073"
"Kenneth Boyd","MATH-2280"
"Melissa Thompson","CSCI-2001"
"Ashley Hall","MATH-2865"
"Kathy Miller","MATH-3386"
"Jennifer Blair","MATH-1555"
"Megan Villegas","MATH-4042"
"Richard Porter","ECSE-4610"
"Teresa Robertson","PSYC-2629"
"Miguel Dominguez","CSCI-3536"
"Katrina Smith","BIOL-4525"
"Jacob Carrillo","PHYS-3368"
"Deborah Vargas","PHYS-4872"
"James Johnston","PSYC-2222"
"Anthony Shannon","BIOL-2388"
"Joshua Lyons","PHYS-2228"
"Tina Simpson","PSYC-1261"
"Steven Hughes","PHYS-1353"
"Scott Taylor","ECSE-3087"
"Kelsey Cross","ECSE-1066"
"Carol Elliott","ECSE-2728"
"Peter Wolfe","PHYS-4440"
"Ian Garcia","CSCI-2462"
"Zachary Case","BIOL-1337"
"Amy Miller","ITWS-4007"
"Patricia Thomas","PHYS-4691"
"Sherry Wyatt","STSO-3081"
"Michael Norman","CSCI-2845"
"Jane Gonzalez","CSCI-3693"
"Wesley Walton","STSO-2947"
"Sherri Mason","CSCI-1472"
"Emily Carr","CHEM-4470"
"Jeremiah Wong","CSCI-1249"
"Brian Mccarthy","ENGR-4059"
"Jared Wells","CSCI-2372"
"Erika Mathews","PSYC-3882"
"Mallory Cooper","PSYC-1544"
"Mark Mckinney","ENGR-2798"
"Jill Allen","BIOL-3723"
"Chelsea Arnold","PHYS-4478"
"Valerie Clements","CSCI-2065"
"Patricia Torres","ECSE-3573"
"Sarah Black","ENGR-3276"
"Henry Gutierrez","BIOL-2669"
"Kelsey Green","PSYC-2094"
"Pamela Parks","ENGR-4464"
"Carlos Donaldson","MATH-1555"
"Sara Duncan","MATH-2765"
"Laura Galloway","PHYS-1211"
"Tim Goodman","MATH-2777"
"Tina Powell","ECSE-2927"
"Teresa Brown","CHEM-3537"
"David Vazquez","BIOL-1994"
"Katherine Walker","BIOL-2495"
"Christine Price","ENGR-2383"
"Diana Richards","ENGR-4977"
"Annette Moore","PSYC-2671"
"Tonya Miller","BIOL-4218"
"Trevor Jordan","BIOL-2746"
"Robert Haynes","PSYC-4762"
"Jason Salinas","PHYS-2874"
"Heather Bell","PHYS-1350"
"Johnny Hunter","BIOL-3204"
"Adam Vaughn","STSO-3633"
"Andrew Warner","ENGR-2571"
"Dakota Evans","ITWS-2695"
"Brian Rodriguez","STSO-3081"
"Nicole Gentry","ENGR-3459"
"Thomas Hall","ITWS-3385"
"Alejandro Morgan","CHEM-3848"
"Alan Foley","BIOL-3989"
"Kimberly Thomas","CHEM-2028"
"Lisa Patterson","ECSE-1057"
"Willie Miranda","STSO-3198"
"James Mccoy","PHYS-3261"
"Gregory Vasquez","ITWS-1295"
"Megan Taylor","STSO-3404"
"Jason Reid","PHYS-2171"
"Barbara Alvarado","PHYS-1262"
"Martha Warner","STSO-1290"
"Victor Lopez","ITWS-4662"
"Rachel Vargas","PHYS-1215"
"Duane Martinez","CHEM-1995"
"Madison Blankenship","CSCI-1332"
"Wendy Jones","PHYS-1681"
"David Moss","BIOL-4804"
"Michael Herman","ITWS-4491"
"Ashley Gonzalez","BIOL-2033"
"Jonathan Douglas","PHYS-3297"
"Zachary Shepard","CHEM-2439"
"Tanya Wilson","ENGR-2841"
"Lauren Huffman","MATH-2692"
"Lisa Barry","BIOL-2620"
"Julia Garrett","PHYS-3123"
"Timothy Hart","ENGR-2440"
"Danny Porter","PHYS-3786"
"Robert Blackwell","STSO-4617"
"Steven Smith","ENGR-1186"
"Amber Perez","STSO-4149"
"Rodney Avila","PSYC-4525"
"Roger Long","ITWS-4537"
"Beth Smith","MATH-2280"
"Lisa Johnson","ITWS-1436"
"Rodney Diaz","STSO-2099"
"Tracy Porter","CSCI-3890"
"Courtney Boyd","CSCI-1068"
"Christina Thompson","PHYS-3585"
"Ryan Mckinney","CSCI-3530"
"Dawn Hoffman","MATH-2479"
"Lisa Patterson","PHYS-4306"
